Identifiant,group,Demographic Horodateur,D-Année d'étude,D-Genre,D-Outils gamifiés déjà utilisés ?,D-Compétences java,D-Compétences en écriture de test,D-Motivation initiale à écrire des tests,Achievements Horodateur,A-Facilité d'utilisation du mode achievements,A-Avis sur l'utilisation des achievements,A-Ressenti lors de l'utilisation des achievements ?,A-Ressenti après avoir utilisé les achievements,A-J'ai été distrait·e à cause des achievements pendant que j'écrivais mes tests ?,A-Motivation à écrire des tests avec le système d'achievements,A-Fréquence de consultation des achievements durant l'évaluation,A-Le système d'achievement m'incite à écrire plus de tests,A-Le système d'achievement me permet de voir les points faibles de mes tests,"A-Votre intérêt pour un système gamifié avec uniquement des achievements diminuerait-il au fil du temps (plusieurs semaines/mois/années) ?
(Sentiment de lassitude)",Leaderboard Horodateur,L-Facilité d'utilisation du mode leaderboard,L-Avis sur l'utilisation du leaderboard,L-Ressenti lors de l'utilisation du leaderboard,L-Ressenti après avoir utilisé le leaderboard,L-J'ai été distrait·e à cause du leaderboard pendant que j'écrivais mes tests ?,L-Motivation à écrire des tests avec le système de leaderboard,L-Fréquence de consultation du leaderboard durant l'évaluation,L-Le système de leaderboard m'incite à écrire plus de tests,L-Le système de leaderboard me permet de voir les points faibles de mes tests,"L-Votre intérêt pour un système gamifié avec uniquement un leaderboard diminuerait-il au fil du temps (plusieurs semaines/mois/années) ?
(Sentiment de lassitude)",Satisfaction Horodateur,"S-Après avoir utilisé le plugin,  j'évalue mes compétences en écriture de test","S-Après avoir utilisé le plugin, j'évalue ma motivation à écrire des tests",S-Système préféré,"S-Clarté des règles du jeu (achievements, leaderboard)",S-Design et intégration dans IntelliJ,"S-Selon vous, quel mode est le plus fun ?",S-Le système de points et de progression vous a-t-il semblé juste ?,"S-J'ai été tenté d'écrire plus de tests pour augmenter mes points, même si les tests ne sont pas spécialement pertinents","S-Seriez-vous intéressé·e par l'utilisation d'outils gamifiés durant certains cours ?
(Vérification et Validation, Génie Logiciel, ..)","S-Quel mode j'ai envie d'utiliser dans un cours où je peux être confronté à du test logiciel ? 
(Vérification et Validation, Génie Logiciel, ..)",S-Donner 3 points positifs du plugin,S-Donner 3 points négatifs du plugin,S-Donner 3 améliorations à apporter au plugin
50,B,2025-04-17 08:48:21,BAC 3,Autre,,3,2,4,2025-04-17 10:08:00,1,4,2,3,2,4,6 à 10 fois,5,3,5,2025-04-17 09:31:06,4,3,4,2,4,1,6 à 10 fois,2,1,3,2025-04-17 10:12:56,2,3,Achievements,4,4,5,Oui,2,5,5,"Facile, visuel, prend peu de place sur l'écran ","Facilement mis en erreur, possible de tricher, distrayant ","Notifications plus visibles, aide pour écrire les tests, plus d'explications sur les achievements"
91,A,2025-04-17 08:48:23,BAC 3,Homme,"Duolingo, Kahoot!",2,3,1,2025-04-17 09:33:55,4,4,3,4,4,5,J'ai consulté les achievements tout le long de l'évaluation,4,2,4,2025-04-17 10:09:12,1,2,4,2,5,3,6 à 10 fois,4,1,5,2025-04-17 10:17:36,1,3,Achievements,5,4,5,Non,5,5,5,"- Simple d'utilisation
- Bonne gamification
- C'est cool","- Leaderboard trop compétitif donc on se retrouve à faire des tests baclés pour gagner des points 
- Achivement pas assez interractifs (Peut-etre créer une animation pour créer de la satisfaction chez le joeur)
- Systeme de point trop flou ","- Améliorer la visibilité du leaderboard en fixant notre place en haut de celui si avec notre position 
- Ajouté un système de récompense pour motivé encore plus les étudiants 
- Augmenté la variété de test disponible"
81,A,2025-04-17 08:48:23,BAC 3,Homme,"Duolingo, Kahoot!",2,2,4,2025-04-17 09:32:59,1,5,1,5,1,5,1 à 5 fois,5,2,4,2025-04-17 10:09:32,1,4,4,4,3,5,1 à 5 fois,5,2,4,2025-04-17 10:17:11,2,3,Achievements,3,5,5,Oui,5,5,5,"Bien intégré dans Intelliji
J'aime vraiment bien les achievements, les différents niveaux de trophées
Facile à installer","C'est frustrant d'être battu dans le leader board
",Pouvoir voir les trophées des autres
31,A,2025-04-17 08:48:25,Passerelle,Homme,"Duolingo, Kahoot!",4,2,2,2025-04-17 09:33:24,2,4,2,3,4,4,J'ai consulté les achievements tout le long de l'évaluation,4,3,4,2025-04-17 10:09:03,2,4,1,5,3,5,1 à 5 fois,5,2,3,2025-04-17 10:14:55,3,4,Leaderboard,5,5,5,Non,2,4,2,"Interactif, compétitif,  divertissant","peut-être trop divertissant, notifications en continu, ",Peut-être évaluer la qualité des tests et avoir des points en fonction de cette qualité et non la quantité de tester exécuter
68,B,2025-04-17 08:48:28,Passerelle,Homme,Duolingo,3,3,3,2025-04-17 10:07:38,1,4,2,4,1,4,6 à 10 fois,4,4,2,2025-04-17 09:30:48,2,3,2,2,1,3,1 à 5 fois,2,2,2,2025-04-17 10:14:22,3,4,Achievements,5,5,4,Non,1,5,4,"Ludique 
Ambitieux
Motivant","Permet le spam de test(triche) 
Point trop régulier
Peu de diversité au niveau de point","Ajouter un mode anti triche
Ajouter une hiérarchie de point plus marquant 
Ajouter des effet lorsqu’on gagne de gros point"
30,B,2025-04-17 08:48:34,Passerelle,Femme,,3,3,3,2025-04-17 10:07:42,4,3,4,2,2,2,1 à 5 fois,2,2,4,2025-04-17 09:30:54,4,4,3,3,1,2,1 à 5 fois,2,2,4,2025-04-17 10:18:54,3,2,Leaderboard,3,4,2,Oui,2,1,3,L’intégration dans l’IDE / le leaderboard,Clarté / problème de scroll dans achievement /  difficulté d’installation du plugin,"Améliorer l’explication des critères / résoudre le bug d’achievement / ne pas perdre toutes les données lorsque ça se déconnecte 
"
83,A,2025-04-17 08:48:35,BAC 3,Homme,"Duolingo, Kahoot!",3,3,4,2025-04-17 09:33:39,4,4,2,4,3,3,J'ai consulté les achievements tout le long de l'évaluation,3,4,5,2025-04-17 10:09:51,4,3,3,3,2,2,11 à 15 fois,4,1,2,2025-04-17 10:13:59,2,3,Achievements,4,4,4,Oui,3,2,5,"Belle interface, simple d'utilisation, les notifications ","Prend beaucoup de taille sur l'ide quand ouvert,la connexion qui doit être souvent active, possibilité de triche","Enlever les possibilités de triche, ajouter un peu de couleur, simplifiée l'installation du plugin en l'intégrant au market inteligi"
5,A,2025-04-17 08:48:37,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1,2025-04-17 09:34:37,1,4,2,4,3,5,6 à 10 fois,5,2,4,2025-04-17 10:09:59,5,4,4,4,4,4,6 à 10 fois,4,2,4,2025-04-17 10:16:35,3,4,Achievements,5,4,2,Non,4,5,5,"fun, drole à utiliser entre potes, donne de l'intérêt au testing","triche possible, certainement pas une bonne idée en entreprise ou dans une équipe de dév","Empecher la triche
"
48,B,2025-04-17 08:48:40,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1,2025-04-17 10:07:24,1,4,2,4,2,4,J'ai consulté les achievements tout le long de l'évaluation,4,2,3,2025-04-17 09:31:50,1,4,3,3,5,3,J'ai consulté les achievements tout le long de l'évaluation,2,1,3,2025-04-17 10:13:57,2,3,Achievements,3,5,5,Oui,4,4,4,"Facile d'utilisation, clair, interactif","Failles facilement exploitable, peut être un peu distrayant, le mode leaderboard peut etre plus expliqué.","Clarification du mode leaderboard, fixer les exploits (peut ""créer"" des points facilement), rendre le module disponible dans d'autres langages "
40,B,2025-04-17 08:48:40,BAC 3,Femme,Duolingo,2,2,1,2025-04-17 10:08:10,2,3,3,4,2,3,J'ai consulté les achievements tout le long de l'évaluation,3,4,3,2025-04-17 09:31:45,5,5,3,4,5,5,J'ai consulté les achievements tout le long de l'évaluation,4,3,4,2025-04-17 10:14:30,2,4,Leaderboard,4,2,1,Non,5,4,2,"Amusant, cool,  design ","Score,  installation, mise en place ","Score pas représentatif, ce serait mieux d'avoir une extension directement, "
70,B,2025-04-17 08:48:44,BAC 3,Homme,codewars ou moins),3,3,3,2025-04-17 10:07:57,3,2,3,2,2,1,1 à 5 fois,2,2,2,2025-04-17 09:32:59,5,3,2,3,2,2,1 à 5 fois,4,2,4,2025-04-17 10:14:02,3,3,Leaderboard,5,5,2,Non,2,1,2,"Design, facilité d'utilisation, idée","Mauvais systeme de validation, manque de bonne competitivité , manque de motivation poir utiliser",retirer la tricherie
96,B,2025-04-17 08:48:49,BAC 3,Homme,,2,2,1,2025-04-17 10:07:57,2,3,4,2,4,2,6 à 10 fois,3,4,3,2025-04-17 09:31:13,1,3,4,3,5,3,J'ai consulté les achievements tout le long de l'évaluation,4,1,4,2025-04-17 10:14:31,2,1,Leaderboard,5,4,1,Non,2,5,1,"Clair, amusant, interface satisfaisante","Score manipulable, mauvaise évaluation des tests (gain de points pour un test non complet), difficultés à installer","Score, évaluation des tests, le mettre directement disponible sur intellij, rétro-compatibilité avec les anciennes versions de intellij (build<243)"
26,B,2025-04-17 08:48:52,BAC 3,Homme,,2,1,2,2025-04-17 10:08:05,1,5,1,4,2,5,1 à 5 fois,5,2,3,2025-04-17 09:31:23,2,3,3,2,3,2,1 à 5 fois,4,2,4,2025-04-17 10:16:12,2,4,Achievements,4,4,5,Oui,4,4,5,"Ludique
Satisfaisant 
Encourageant ","Peut faire perdre de vue l’objectif principal de tester le logiciel 
Énervant si on bloque sur un archivement en particulier par exemple 
Je ne suis pas spécialiste en test unitaire mais il peut peut-être manquer de catégorie et faire croire à un utilisateur d’avoir tester l’ensemble de son code alors qu’il manque peut être l’un ou l’autre tests à effectuer ",Je n’ai pas d’idée sur le moment 
3,A,2025-04-17 08:48:54,BAC 3,Homme,,2,3,3,2025-04-17 09:33:13,5,4,2,3,2,4,1 à 5 fois,3,1,3,2025-04-17 10:09:16,1,4,2,3,2,4,6 à 10 fois,3,2,2,2025-04-17 10:16:06,2,4,Achievements,4,5,5,Non,2,3,5,"Intuitif
Seamless
Un peu addictif (dans le bon sens)","Pas claire sur quoi compte
Facile a exploiter (ducoup leaderboard un peu inutile)
Devoir clique sur l'icon pour voir les résultats détourne l'attention
","Un always on display discret
Un traqueur de progression entre session de coding
Un meilleur check de l'utilité des tests génerés"
73,A,2025-04-17 08:49:05,BAC 3,Homme,Kahoot!,3,3,4,2025-04-17 09:35:16,2,2,4,2,4,4,6 à 10 fois,4,4,3,2025-04-17 10:09:56,3,4,3,3,2,3,1 à 5 fois,4,2,3,2025-04-17 10:16:24,2,3,Achievements,3,4,3,Non,3,4,4,"Intéressant, competitive et enthusiastic ",Dans l'ensemble c'est correct rien a rajouté ,Un peu plus de clarté  sur le leaderboard 
1,A,2025-04-17 08:49:09,BAC 3,Femme,"Duolingo, Kahoot!",3,3,4,2025-04-17 09:33:47,4,4,2,4,1,3,1 à 5 fois,4,3,3,2025-04-17 10:10:56,1,3,2,4,2,4,1 à 5 fois,4,1,3,2025-04-17 10:16:17,2,4,Achievements,5,5,5,Oui,5,5,5,stimulant et motivant , incitation à faire des tests pas tres utiles parfois ,Vérifier la pertinence des tests 
28,B,2025-04-17 08:49:10,BAC 3,Homme,"Duolingo, Kahoot!",2,1,3,2025-04-17 10:07:02,4,2,2,2,4,2,1 à 5 fois,1,1,1,2025-04-17 09:32:56,5,3,4,4,3,3,11 à 15 fois,3,1,5,2025-04-17 10:15:34,2,4,Leaderboard,2,4,3,Non,5,1,4,"design, facilité d'utilisation, mes 40000 points","la façon de compter les points, les achievements sont trop larges, il n'incite pas à écrire de bon test.","ajoutez une vérification des tests validés pour pas que le plugin compte le même test copié collé, pouvoir comparer ces trophées avec les autres, "
107,A,2025-04-17 08:49:12,BAC 3,Homme,Duolingo,2,3,2,2025-04-17 09:33:39,2,3,3,2,2,3,J'ai consulté les achievements tout le long de l'évaluation,3,3,3,2025-04-17 10:09:19,4,3,1,1,3,3,6 à 10 fois,3,3,3,2025-04-17 10:13:04,1,3,Achievements,2,3,4,Oui,3,5,5,"Simple , facile d’utilisation , pratique pour l’apprentissage ",Je ne peux rien dire ,Pas vraiment 
15,A,2025-04-17 08:49:14,BAC 3,Femme,"Duolingo, Kahoot!",3,1,2,2025-04-17 09:32:19,4,5,2,4,2,4,J'ai consulté les achievements tout le long de l'évaluation,4,3,4,2025-04-17 10:08:54,5,5,1,5,4,4,J'ai consulté les achievements tout le long de l'évaluation,5,3,4,2025-04-17 10:16:16,1,2,Leaderboard,3,5,1,Non,5,2,5,"Facilité d'utilisation, Design agréable, Nous motive à écrire des tests","Le comptage des points peut être ""manipulé"", Je me concentre plus au plugin qu'à l'écriture des tests, Les achievements ne sont pas toujours clairs "," Mettre plus d'explications pour les achievements, Limiter la ""manipulation"" des points,  "
104,B,2025-04-17 08:49:16,BAC 3,Homme,,3,3,3,2025-04-17 10:07:20,2,4,1,5,2,4,1 à 5 fois,4,1,3,2025-04-17 09:31:01,5,4,2,5,4,4,6 à 10 fois,4,1,3,2025-04-17 10:15:19,4,4,Achievements,5,5,4,Non,2,5,5,"1) Progression visuelle
2) Poussé à travailler via le challenge contre les autres
3) Bien implémenté","1) Possibilité de triche
2) Système de points non sécurisé
3) Obtention des points trop simple","1) Limiter l'obtention de points via les asserts
2) Limiter l'obtention de points pour un même test en leaderboard
3) Empêcher l'obtention de points pour des tests non utiles"
32,B,2025-04-17 08:49:24,BAC 2,Homme,,3,3,2,2025-04-17 10:06:54,2,4,2,4,2,4,J'ai consulté les achievements tout le long de l'évaluation,4,2,3,2025-04-17 09:32:37,4,3,2,3,2,3,1 à 5 fois,2,1,4,2025-04-17 10:17:02,1,2,Achievements,4,3,4,Non,1,4,4,"facile a utiliser
amusant
on voit notre progression","possibilité de tricher
je n'avais pas certains achievement 
système des points trop simple","retirer la tricherie
faire fonctionner tous les achievement
modifier le système d'obtention des points"
72,B,2025-04-17 08:49:50,Passerelle,Homme,Duolingo,3,2,4,2025-04-17 10:07:45,2,4,3,3,1,3,Jamais,4,4,2,2025-04-17 09:31:39,1,4,3,2,1,3,1 à 5 fois,4,2,3,2025-04-17 10:20:11,2,3,Achievements,4,4,5,Oui,1,2,2,"Interface sympa, facile à utiliser, achievementd et retours bien fait.","Trop de système de récompenses, pas toujours interactif, version beta.","Amélioration de boards, système équilibré de récompenses "
56,B,2025-04-17 08:50:01,Passerelle,Femme,GitHub Achievements,3,2,3,2025-04-17 10:07:58,4,4,4,4,2,3,1 à 5 fois,3,3,3,2025-04-17 09:34:52,4,4,4,4,3,3,1 à 5 fois,4,2,3,2025-04-17 10:16:59,3,4,Leaderboard,4,5,2,Oui,4,3,2,"Le Design, la facilité d'utilisation,   le fun","documentation sur l'utilisation,  ","La sécurité(authentification), ajouter une explication du system de score, ajout d'un mode duel pour le fun"
35,A,2025-04-17 08:53:07,BAC 3,Homme,Duolingo,2,3,2,2025-04-17 09:34:09,3,2,2,3,1,3,1 à 5 fois,3,3,1,2025-04-17 10:11:11,3,3,2,3,4,4,1 à 5 fois,2,3,2,2025-04-17 10:13:56,2,3,Achievements,3,3,3,Oui,2,3,2,"Simple
Facile à utilisé 
Intuitif ",Pas vraiment de points négatif détecté ,"Amélioration de l interface, Ajout de fonctionnalités personalisables ,"
52,B,2025-04-17 09:32:30,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1,2025-04-17 10:08:27,5,2,3,3,3,1,1 à 5 fois,2,2,5,2025-04-17 09:33:41,1,2,3,3,4,1,J'ai consulté les achievements tout le long de l'évaluation,2,1,5,2025-04-17 10:14:22,1,1,Aucun des 2,4,5,2,Non,1,1,3,"on veut écrire des tests, rigolo car il y a des bugs, bien implémenté dans intelliJ","il  y a des bugs, pas vrm utile personnelement, te déconcentre un peu lors du coding","régler les bugs, impossible d'envoyer les données lorsque l'on a 0 points, un peu difficile d'installer le plug-in"
